itsblah	ettin	Symbol 'H', speed 12, AC 3, MR% 0, does 2d8+3d6 in melee. Ettins also have a 90% chance to overcome stealth when waking up, and ettins do NOT raise str like a giant.
Zeffrin	ettin	Eaten: ettin     Nutr: 500
jilles	sanctuary	Sanctuary protects against melee as well as wand/potion/scroll attacks and prevents monsters from moving into the temple.
jilles	sanctuary	Sanctuary is respected by all hostile monsters except 'A' and riders.
Jafet	sanctuary	You are granted sanctuary in any co-aligned temple , if attended by a peaceful priest(ess) and your alignment is above -4.
PsyMar	stf	see {stone_to_flesh}
osmodiar	hot_nethack_guys	These people don't exist, although mucknert can do a reasonable parody if pushed
bhaak	hot_nethack_guys	Although the variants guys are said to be really hot.
dasunt	green_dragon_scales	Drops AC by 3 and provides poison resistance.  Can be transformed into green dragon scale mail with a scroll of enchant armor.
CydeWeys	green_dragon_scales	Weighs 40.
DrSunglass	tonal_instrument	The tonal instruments are: wooden flute, magic flute, tooled horn, frost horn, fire horn, wooden harp, magic harp, bugle.  Tonal instruments can be used to play the passtune by saying 'n' to 'Improvise?'.
CydeWeys	blue_dragon	See {dragon}
Zeffrin	blue_dragon	Eaten: blue dragon   Nutr: 1500   Intrinsic: Shock: 100%
scwizard	the_flow_reduces_to_a_trickle	Your in minetown and you just used a fountain. If you use the same fountain again it will dry up and the watch will attack you.
FireLynx	wef	wef means Wizard-Elf-Female.
teabing	prayer	timeout Is increased when you pray, or receive an artifact from #offering.  Is decreased when you #offer when prayer timeout>0.
jmr	prayer	For general info about prayer, see: http://www.steelypips.org/nethack/pray.html
mathx	lowest_score	Lowest scoring NAO ascensions: http://alt.org/nethack/lowscoreasc.php
DiNoo	you_hear_the_howling_of_the_cwnannwn	The CwnAnnwn howl when you're about to die.
greycat	evil_iggy	A monster from Moria, another roguelike game.  Sometimes seen while hallucinating in NetHack.
paxed	#pray	Extended command.  Pray to the gods for help.
joshk	#pray	To get holy waters when praying, leave them on a coaligned altar, stand on the altar and pray, and they'll be blessed unless $DEITY is pissed.
SheeEttin	#pray	Need help? Praying spoiler: <http://www.steelypips.org/nethack/pray.html#p1>
greycat	monk	The Monk is a mystic warrior who can cast a few spells.  They require a unique playing style, focusing on martial arts (weaponless combat, in which they can achieve Grand Mastery) and no body armor.  They also suffer an alignment penalty if they eat meat.
greycat	monk	To compensate for the penalties, they also gain a huge number of intrinsics as they gain experience levels.  They start with speed, sleep resistance, and see invis.  They gain poison resistance, stealth, warning, searching, fire/cold/shock resistance, and teleport control by level 17.
paxed	monk	Monk rank titles: Candidate (xplvl 1-2), Novice (3-5), Initiate (6-9), Student of Stones (10-13), Student of Waters (14-17), Student of Metals (18-21), Student of Winds (22-25), Student of Fire (26-29), Master (30)
luis	monk	Intrinsic abilities: 1: Speed, Sleep res, See invis; 3: Poison res; 5: Stealth; 7: Warning; 9: Searching; 11: Fire res; 13: Cold res; 15: Shock res; 17: Teleport control.
Zadir	monk	The physical to-hit penalty for wearing armor is -20.
Stevie[FP]	monk	spellskill { attack: basic; healing: expert; divination: basic; enchantment: basic; clerical: skilled; escape: basic; matter: basic }
Cheapy_	monk	They start with one of the following spellbooks: sleep, protection, or healing.
Eidolos	monk	There is a Monk FAQ that covers conducts, wishes, equipment, etc. You can find it at http://www.steelypips.org/nethack/monk_faq.html
Zeffrin	monk	Eaten: monk   Nutr: 400   Effects: Human
dtype	demogorgon	Summoned-only demon lord: level 106, speed 15, AC -8, MR 95, resists fire and poison, M8d6+ 1d4V 1d6# 1d6#.  With two illness attacks, he can kill quickly, so don't dawdle.  He respects Elbereth, get it down ASAP and fix any illness or kill him quickly (such as stoning).
jdorje	demogorgon	Only chaotic demons (Orcus, Juiblex and Yeenoghu, of which Orcus is the most effective) may gate in Demogorgon, although he can be also be summoned by high-level spellcasters (eg Rodney)
Babamus	demogorgon	If you want to kill him a lot of times, take care of the black dragons before they disintegrate him.
umopepisdn	demogorgon	Unicorn horns have a chance of failing, and holy water will only work if you are not chaotic. Your best bet is to use a 100% way of curing sickness, such as the spell, or b!oHeal, !oEH, and !oFH.
zezozose	demogorgon	Image: http://www.merzo.net/images/001demogorgon.gif
Calamarain	demogorgon	A recommended strategy for killing him is to stone him, either with a 'trice corpse, or some chickatrice eggs.
lorimer	id10t	see {PEBKAC}
Patashu	poisoned_by_a_unicorn_horn	Next time you'll make sure the horn isn't cursed FIRST.
Stevie[FP]	that_potion_smells_terrible	You just breathed the vapors from a cursed potion that was either gain ability or restore ability.
paxed	arch_priest	The Priest quest leader.
Zeffrin	arch_priest	Eaten: Arch Priest   Nutr: 400   Effects: Human
paxed	disclose	Configuration option.  What do you want NetHack to show when your game ends.  ex. "disclose:yi na +v -g -c"  y=prompt with default yes, n=prompt with default no, +=show it, -=don't show it, i=inventory, a=attributes, v=vanquished monsters, g=genocided monsters, c=conduct.
Eidolos	disclose	A useful disclose option is yi +avgc. If you want to see none of your disclose stuff (perhaps you YASDed and are angry), hit 'q'. If you want to see all of it, hit 'y' or space, all the following options are auto-show. Stevie's idea!
Simetrical	ddtt	Don't do that, then.
sorear	your_toes_stop_itching	You read a cursed or confused scroll of gold detection, but there were no traps.
JoshJ	hallu	see {hallucination}
Cheapy|	the_eyes_of_the_overworld	See {eyes_of_the_overworld}
paxed	#nethack:!gift	$ACT $CHOICE(5*gives|throws) $ARGS $AN($CHOICE($BUC|3*) $RNDOBJ)
Pio	zruty	The zruty are wild and gigantic beings, living in the wildernesses of the Tatra mountains. Speed 8, AC 3, deals damage for 3d4 + 3d4 + 3d6.
Zeffrin	zruty	Eaten: zruty   Nutr: 600
greycat	huhetotl	The chaotic god of the Archeologist pantheon.
zezozose	#nethack:!info	http://alt.org/nethack/plr.php?player=$ARGS
I3rian	#nethack:=opfsc?	Ring of Protection from shapechangers
Hellzon	you_feel_worried_about_your_future_financial_situation	See {worried[2]}
Stevie	"ols	see {amulet of life saving}
sacarasc	speed_ascension	see {fast_ascension}
kerio	how_to_ascend	Start as a dwarf valkyrie, enter the mines, get a mithril-coat, get to minetown and wish for sdsm if you can, get candles, go back to the main dungeon and go to the Oracle, make Excalibur when you're level 7, do sokoban, go to the castle and get a cloak of magic resistance from a wizard's bones,
kerio	how_to_ascend	get the wand of wishing and wish for silver dragon scale mail, Sceptre of Might if you can and want to artiwish, otherwise cloak of magic resistance, speed boots, ring of levitation, and markers, enchant your armor and weapon, get gloves from the barracks, go back and do the quest, exit the quest and levelport to the valley of the dead, map gehennom,
kerio	how_to_ascend	do gehennom, kill Vlad and get the candelabrum, find the vibrating square, kill Rodney and get the book of the dead, do the invocation, activate conflict if you have the sceptre or the appropriate ring, go down, get the Amulet of Yendor, go back up, do the planes, on Astral go to the non-Death altars, and if you get the chaotic one wish for a helm of opposite alignment, ascend.
kerio	how_to_ascend	It's easy!
kerio	how_to_ascend	Also, you need moar Elbereth.
billnye	tinc	There Is No Cabal! (really)
ylmson	geyser	the geyser spell is a level 13 clerical monster spell, it deals 8d6 damage but is halved if you have half physical damage.
ylmson	geyser	monsters who can cast the geyser spell: high priest, master kaen, arch priest, grand master
paxed	runmode	Configuration option.  Controls the amount of screen updating for the map window when engaged in multi-turn movement.  Possible values are "teleport", "run", "walk", and "crawl".
Jmadman311	that_tasted_bland	You ate a [master] mind flayer corpse to raise your intelligence, but it was already at max!
JoshJ	playstation_2	One of the many Linux platforms that Nethack can be compiled on. (with the Linux kit) TTY, X11 with tiles and Qt interfaces all work in the usual way.
JoshJ	playstation_2	Yes, you can use a keyboard, the Playstation 2 has USB ports.
JoshJ	playstation_2	You've got telnet too, for NAO. If in X kvt is recommended using DECgraphics, if in the console IBMgraphics work well.
JoshJ	playstation_2	Falcon's eye compiles too.  It has problems if you run it using a TV display
JoshJ	playstation_2	noeGNUd will also compile but runs too slowly to be playable.
itsblah	holy	Item prefix meaning the same as blessed. You can wish for an object to be holy to produce the same effect as asking for it to be blessed.
PsyMar	you_give_the_fish_a_chance_to_fix_their_makeup	You applied a mirror underwater while hallucinating.
blackcustard	#nethack:netsplit?	Ashikaga Takauji swings the Tsurugi of Muramasa. Ashikaga Takauji hits! The Tsurugi of Muramasa cuts freenode in half!
kerlo	the_water_flow_seems_lesser_now	You dropped a negatively-enchanted ring of gain constitution down a sink.
Ian-Keith	momentarily_weakened	You resisted a Drain Strength spell with magic resistance. Feel happy.
SheeEttin	botd	see {book_of_the_dead}
dasunt	hooded_cloak	see {dwarvish cloak}
nailbunny	you_feel_like_a_new_woman	Message given when a female human polymorphs but does not change race. Stats are re-rolled.
Zeffrin	attendant	Eaten: attendant   Nutr: 400   Effects: Human
dasunt	p	Command: 'p'  Pay your shopping bill.
dasunt	p	Command: 'P'  Put on a ring or other accessory (amulet, blindfold).
dasunt	p	Command: '^P'  Repeat previous message.  Subsequent ^P's repeat earlier messages.  The behavior can be changed via the msg_window option.
dasunt	p	Monster: 'p'  Things that like to drop on your head, i.e., rock, iron and glass piercers -- wear a hard helmet!
dasunt	p	Monster: 'P'  Black or brown puddings, green slime and gray oozes.
dasunt	p	Command: 'Meta-p'  Same as '#pray'.
_AtH	death_magic	There are (1) wand of death (death ray); (2) spell "finger of death" (death ray); (3) touch of death (melee attack of L and Rodney); and (4) Death's Touch (Death endgame rider attack).
_AtH	death_magic	Death rays (1) and (2) are blocked by Reflection (i.e. SDSM or reflection shield).
_AtH	death_magic	All four sources of death magic could be blocked by Magic Resistance, although Death will still drain your maxHP.
ekiM	death_magic	_Don't_ zap yourself with a death ray.
Eidolos	los	Line of sight. Roughly speaking, everything you can see with your eyes is in your LOS and everything else isn't.
towo	los	Note: Your average nethack character has 360 degree vision, i.e. eyes in the back of their head. This is a consequence of not having 'facing' code which is difficult to implement in a streamline manner.
Stevie[FP]	snoring_snakes	see {delphi}
SheeEttin	discovery_mode	see {explore mode}
towo	ad_aerarium	A secret door near this engraving will hold either a teleport to a gold vault or a level teleporter.
IamI3rian	ad_aerarium	Latin, means literally "to treasury"
joshk	you_see_an_image_of_someone_stalking_you	You just got the see invisible intrinsic.
Poeir	vibrates_unexpectedly	If you read another scroll of enchant armor or enchant weapon and it affects that piece of armor/that weapon, there is a 1 in (enchantment level) probability of the armor _not_ vanishing.  You lose the scroll, too, either way.
runcible	you_hear_a_gurgling_noise	see {gurgling_noise}
joshk	robe	Enables characters who wouldn't be able to use magic ordinarily have a higher chance of casting spells correctly. Nicely paired with a helm of brilliance.
